"V1"	"V2"
"Good, The Bad and The Ugly, The (1966)"	3.86131386861
"Batman Returns (1992)"	2.68309859155
"GoldenEye (1995)"	3.20610687023
"Big Night (1996)"	3.90058479532
"Kazaam (1996)"	1.8
"Abyss, The (1989)"	3.58940397351
"River Wild, The (1994)"	3.14383561644
"Ghost in the Shell (Kokaku kidotai) (1995)"	3.65384615385
"Face/Off (1997)"	3.76804123711
"Birds, The (1963)"	3.80864197531
"Cool Runnings (1993)"	3.16176470588
"Fugitive, The (1993)"	4.04464285714
"Contact (1997)"	3.80353634578
"Jackie Chan's First Strike (1996)"	3.25517241379
"Jumanji (1995)"	3.3125
"Cape Fear (1962)"	3.52325581395
"Empire Strikes Back, The (1980)"	4.20435967302
"Assassins (1995)"	2.87179487179
"Canadian Bacon (1994)"	2.41379310345
"Clockers (1995)"	3
"Chain Reaction (1996)"	2.7
"When Harry Met Sally... (1989)"	3.91034482759
"Joe's Apartment (1996)"	2.24444444444
"Jaws 2 (1978)"	2.66666666667
"Three Colors: White (1994)"	3.86440677966
"Hoop Dreams (1994)"	4.09401709402
"Wonderland (1997)"	3.2
"Firm, The (1993)"	3.27814569536
"First Wives Club, The (1996)"	3.01875
"Casablanca (1942)"	4.45679012346
"Saint, The (1997)"	3.12341772152
"Mirror Has Two Faces, The (1996)"	3.36363636364
"My Best Friend's Wedding (1997)"	3.36046511628
"Up Close and Personal (1996)"	3.18823529412
"Groundhog Day (1993)"	3.76428571429
"Close Shave, A (1995)"	4.49107142857
"Mars Attacks! (1996)"	2.84792626728
"Star Trek: The Wrath of Khan (1982)"	3.81557377049
"Flirting With Disaster (1996)"	3.69047619048
"Wag the Dog (1997)"	3.51094890511
"12 Angry Men (1957)"	4.344
"Philadelphia Story, The (1940)"	4.11538461538
"Leave It to Beaver (1997)"	1.84090909091
"Richard III (1995)"	3.83146067416
"Godfather, The (1972)"	4.28329297821
"Diabolique (1996)"	2.88732394366
"Forrest Gump (1994)"	3.85358255452
"Renaissance Man (1994)"	3
"Tommy Boy (1995)"	2.90909090909
"Pete's Dragon (1977)"	2.72093023256
"Pink Floyd - The Wall (1982)"	3.35087719298
"Grumpier Old Men (1995)"	3.04054054054
"Waterworld (1995)"	2.80392156863
"Mystery Science Theater 3000: The Movie (1996)"	3.43076923077
"Delicatessen (1991)"	3.87692307692
"Schindler's List (1993)"	4.46644295302
"Speed (1994)"	3.64782608696
"Pollyanna (1960)"	3.14814814815
"What's Eating Gilbert Grape (1993)"	3.53913043478
"Primal Fear (1996)"	3.60112359551
"Brady Bunch Movie, The (1995)"	2.80263157895
"Mad City (1997)"	3.25531914894
"Real Genius (1985)"	3.66386554622
"Crow, The (1994)"	3.41791044776
"Twelve Monkeys (1995)"	3.79846938776
"Tie Me Up! Tie Me Down! (1990)"	3.1875
"Cape Fear (1991)"	3.45614035088
"Angels in the Outfield (1994)"	2.92307692308
"U Turn (1997)"	3.359375
"Apostle, The (1997)"	3.65454545455
"Lawnmower Man, The (1992)"	2.44615384615
"Pulp Fiction (1994)"	4.06091370558
"Blade Runner (1982)"	4.13818181818
"20,000 Leagues Under the Sea (1954)"	3.5
"Cliffhanger (1993)"	3.02150537634
"Gone with the Wind (1939)"	3.87134502924
"Fish Called Wanda, A (1988)"	3.78542510121
"Celluloid Closet, The (1995)"	3.89285714286
"Love Jones (1997)"	3.09523809524
"Unhook the Stars (1996)"	2.5
"Streetcar Named Desire, A (1951)"	3.81632653061
"Clueless (1995)"	3.45882352941
"Rudy (1993)"	3.3125
"Fan, The (1996)"	3.09375
"Seven (Se7en) (1995)"	3.84745762712
"Great Escape, The (1963)"	4.10483870968
"Jurassic Park (1993)"	3.72030651341
"Dumbo (1941)"	3.49593495935
"Four Rooms (1995)"	3.03333333333
"Kicking and Screaming (1995)"	2.92307692308
"Nikita (La Femme Nikita) (1990)"	4.00787401575
"Grand Day Out, A (1992)"	4.10606060606
"Addiction, The (1995)"	2.18181818182
"Singin' in the Rain (1952)"	3.99270072993
"Shawshank Redemption, The (1994)"	4.44522968198
"One Flew Over the Cuckoo's Nest (1975)"	4.29166666667
"Maltese Falcon, The (1941)"	4.21014492754
"People vs. Larry Flynt, The (1996)"	3.59534883721
"Ulee's Gold (1997)"	3.76086956522
"Field of Dreams (1989)"	3.69811320755
"MatchMaker, The (1997)"	3.17647058824
"Fled (1996)"	2.64705882353
"Back to the Future (1985)"	3.83428571429
"Kicked in the Head (1997)"	2.57142857143
"Desperado (1995)"	3.45360824742
"Glengarry Glen Ross (1992)"	3.46376811594
"Mother (1996)"	3.13017751479
"Alien: Resurrection (1997)"	3.09677419355
"Star Trek VI: The Undiscovered Country (1991)"	3.27950310559
"Amadeus (1984)"	4.16304347826
"Afterglow (1997)"	3.11111111111
"Alien (1979)"	4.03436426117
"Circle of Friends (1995)"	3.48684210526
"Duck Soup (1933)"	4
"Family Thing, A (1996)"	3.55555555556
"Citizen Kane (1941)"	4.29292929293
"Tomorrow Never Dies (1997)"	3.42777777778
"Unbearable Lightness of Being, The (1988)"	3.45652173913
"When the Cats Away (Chacun cherche son chat) (1996)"	3.5625
"Somewhere in Time (1980)"	3.42682926829
"Shadow Conspiracy (1997)"	2.86363636364
"Bottle Rocket (1996)"	3.45454545455
"Kingpin (1996)"	3.12962962963
"Peacemaker, The (1997)"	3.27205882353
"Starship Troopers (1997)"	3.23222748815
"It's My Party (1995)"	3.28571428571
"Once Upon a Time in America (1984)"	3.4
"Indian in the Cupboard, The (1995)"	2.82051282051
"Graduate, The (1967)"	4.10460251046
"Volcano (1997)"	2.80821917808
"Bridge on the River Kwai, The (1957)"	4.17575757576
"Strictly Ballroom (1992)"	4.02884615385
"Wrong Trousers, The (1993)"	4.46610169492
"Eraser (1996)"	3.15048543689
"Stag (1997)"	2.11111111111
"Game, The (1997)"	3.59362549801
"Twelfth Night (1996)"	3.41379310345
"Coneheads (1993)"	2.21951219512
"Miracle on 34th Street (1994)"	3.72277227723
"Bob Roberts (1992)"	3.74117647059
"Dazed and Confused (1993)"	3.46875
"Scout, The (1994)"	2.66666666667
"Trees Lounge (1996)"	3.24
"Brazil (1985)"	3.81730769231
"English Patient, The (1996)"	3.65696465696
"Heavenly Creatures (1994)"	3.67142857143
"While You Were Sleeping (1995)"	3.54938271605
"Akira (1988)"	3.38
"Ghost (1990)"	3.46470588235
"Cook the Thief His Wife & Her Lover, The (1989)"	3.0243902439
"Down by Law (1986)"	3.77142857143
"Stargate (1994)"	3.14173228346
"Usual Suspects, The (1995)"	4.38576779026
"Absolute Power (1997)"	3.37007874016
"Like Water For Chocolate (Como agua para chocolate) (1992)"	3.80405405405
"Lost Horizon (1937)"	3.94117647059
"Lawnmower Man 2: Beyond Cyberspace (1996)"	1.71428571429
"That Thing You Do! (1996)"	3.46590909091
"Return of the Pink Panther, The (1974)"	3.55434782609
"Foreign Correspondent (1940)"	3.86666666667
"Fifth Element, The (1997)"	3.47715736041
"Mulholland Falls (1996)"	2.87804878049
"Blues Brothers, The (1980)"	3.83665338645
"Corrina, Corrina (1994)"	3.15384615385
"Lion King, The (1994)"	3.78181818182
"French Kiss (1995)"	3.33333333333
"Aliens (1986)"	3.94718309859
"Low Down Dirty Shame, A (1994)"	2.5
"Free Willy (1993)"	2.45454545455
"American Werewolf in London, An (1981)"	3.53535353535
"Crying Game, The (1992)"	3.6218487395
"Home for the Holidays (1995)"	3.15517241379
"Full Metal Jacket (1987)"	3.68235294118
"Little Women (1994)"	3.67647058824
"It Happened One Night (1934)"	4.01234567901
"Dances with Wolves (1990)"	3.79296875
"Princess Bride, The (1987)"	4.17283950617
"Crossing Guard, The (1995)"	3
"To Die For (1995)"	3.27586206897
"From Dusk Till Dawn (1996)"	3.11956521739
"Apt Pupil (1998)"	4.1
"Dial M for Murder (1954)"	4
"Once Upon a Time... When We Were Colored (1995)"	3.28571428571
"Hot Shots! Part Deux (1993)"	2.76470588235
"Raising Arizona (1987)"	3.875
"Three Colors: Blue (1993)"	4.015625
"Crash (1996)"	2.546875
"Spy Hard (1996)"	2.51162790698
"Shine (1996)"	3.92248062016
"Hour of the Pig, The (1993)"	3.57142857143
"Flubber (1997)"	2.75471698113
"Multiplicity (1996)"	2.83582089552
"Ed Wood (1994)"	3.6015037594
"Bram Stoker's Dracula (1992)"	3.15833333333
"George of the Jungle (1997)"	2.68518518519
"Hunchback of Notre Dame, The (1996)"	3.37795275591
"Naked (1993)"	3.24
"M*A*S*H (1970)"	3.91262135922
"Smile Like Yours, A (1997)"	2.88
"Adventures of Pinocchio, The (1996)"	3.05128205128
"Pinocchio (1940)"	3.67326732673
"Ice Storm, The (1997)"	3.61111111111
"Indiana Jones and the Last Crusade (1989)"	3.93051359517
"Bed of Roses (1996)"	3.23333333333
"Devil in a Blue Dress (1995)"	3.38596491228
"Lost World: Jurassic Park, The (1997)"	2.94303797468
"Reservoir Dogs (1992)"	3.98648648649
"Tank Girl (1995)"	2.85365853659
"Fallen (1998)"	3.14634146341
"Highlander (1986)"	3.53594771242
"Trainspotting (1996)"	3.884
"GoodFellas (1990)"	3.95132743363
"Star Wars (1977)"	4.35849056604
"Powder (1995)"	3.20833333333
"Godfather: Part II, The (1974)"	4.18660287081
"Evita (1996)"	2.98069498069
"Psycho (1960)"	4.10041841004
"Tin Men (1987)"	3.07843137255
"Home Alone (1990)"	3.08759124088
"Ransom (1996)"	3.64419475655
"Beautiful Girls (1996)"	3.39130434783
"Dave (1993)"	3.65
"Monty Python and the Holy Grail (1974)"	4.0664556962
"Die Hard: With a Vengeance (1995)"	3.28476821192
"Days of Thunder (1990)"	2.71698113208
"Thinner (1996)"	2.44897959184
"Swingers (1996)"	3.82802547771
"Fools Rush In (1997)"	3
"Army of Darkness (1993)"	3.43103448276
"Bridges of Madison County, The (1995)"	3.16417910448
"First Knight (1995)"	3.02325581395
"Picture Perfect (1997)"	2.96296296296
"Muriel's Wedding (1994)"	3.55
"Dead Man (1995)"	3.82352941176
"Priest (1994)"	4
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"	3.94791666667
"Mary Reilly (1996)"	2.82051282051
"Austin Powers: International Man of Mystery (1997)"	3.24615384615
"Mallrats (1995)"	3.44444444444
"Laura (1944)"	4.1
"Bedknobs and Broomsticks (1971)"	3.0701754386
"Killing Zoe (1994)"	3.475
"Spitfire Grill, The (1996)"	3.80412371134
"Great White Hype, The (1996)"	2.75510204082
"Babe (1995)"	3.99543378995
"Quiz Show (1994)"	3.64571428571
"Kull the Conqueror (1997)"	2.63768115942
"Last Supper, The (1995)"	3.44827586207
"Evening Star, The (1996)"	2.93103448276
"Omen, The (1976)"	3.38823529412
"Kundun (1997)"	3.69047619048
"With Honors (1994)"	3.0652173913
"Great Expectations (1998)"	3.22222222222
"Line King: Al Hirschfeld, The (1996)"	3
"Professional, The (1994)"	3.70469798658
"Michael Collins (1996)"	3.45652173913
"Grifters, The (1990)"	3.48314606742
"Shiloh (1997)"	2.83333333333
"Independence Day (ID4) (1996)"	3.43822843823
"In & Out (1997)"	3.30434782609
"Hudsucker Proxy, The (1994)"	3.55454545455
"Tin Cup (1996)"	3.16062176166
"Jane Eyre (1996)"	3.47619047619
"Braveheart (1995)"	4.15151515152
"My Fellow Americans (1996)"	3.16279069767
"Red Firecracker, Green Firecracker (1994)"	3.46153846154
"Orlando (1993)"	3.61764705882
"Andre (1994)"	3.11111111111
"Beavis and Butt-head Do America (1996)"	2.78846153846
"Houseguest (1994)"	2.83333333333
"Island of Dr. Moreau, The (1996)"	2.15789473684
"Juror, The (1996)"	2.81707317073
"Three Musketeers, The (1993)"	3.30337078652
"Hamlet (1996)"	4.01111111111
"Faithful (1996)"	3.3
"Rosewood (1997)"	3.66666666667
"Mary Shelley's Frankenstein (1994)"	3.06779661017
"Mr. Magoo (1997)"	1.91666666667
"Four Weddings and a Funeral (1994)"	3.66135458167
"Parent Trap, The (1961)"	3.09589041096
"Rising Sun (1993)"	2.90697674419
"Money Train (1995)"	2.51162790698
"Donnie Brasco (1997)"	3.80272108844
"Bringing Up Baby (1938)"	3.83823529412
"Thieves (Voleurs, Les) (1996)"	3.71428571429
"Bushwhacked (1995)"	1.57142857143
"Stand by Me (1986)"	3.88105726872
"Mighty Aphrodite (1995)"	3.41847826087
"Beauty and the Beast (1991)"	3.79207920792
"Jack (1996)"	3.14285714286
"Pretty Woman (1990)"	3.32317073171
"High Noon (1952)"	4.10227272727
"Alien 3 (1992)"	2.83
"American President, The (1995)"	3.62804878049
"Amityville: A New Generation (1993)"	1
"Sophie's Choice (1982)"	3.89655172414
"Purple Noon (1960)"	3.14285714286
"Father of the Bride (1950)"	3.58333333333
"101 Dalmatians (1996)"	2.90825688073
"Supercop (1992)"	3.53846153846
"Michael (1996)"	3.31932773109
"Breakdown (1997)"	3.4025974026
"I.Q. (1994)"	3.32098765432
"So Dear to My Heart (1949)"	3.25
"Enchanted April (1991)"	3.92857142857
"Terminal Velocity (1994)"	2.67647058824
"Stalingrad (1993)"	3.16666666667
"Long Kiss Goodnight, The (1996)"	3.47027027027
"Higher Learning (1995)"	3.33333333333
"East of Eden (1955)"	3.86440677966
"Chamber, The (1996)"	3.09302325581
"Top Gun (1986)"	3.48181818182
"Living in Oblivion (1995)"	3.74074074074
"Star Trek: The Motion Picture (1979)"	3.03418803419
"Booty Call (1997)"	2.16666666667
"My Left Foot (1989)"	3.85123966942
"Touch (1997)"	2.77777777778
"Strange Days (1995)"	3.26436781609
"What Happened Was... (1994)"	2.625
"Space Jam (1996)"	2.77419354839
"Fried Green Tomatoes (1991)"	3.76470588235
"Fast, Cheap & Out of Control (1997)"	3.4375
"Striptease (1996)"	2.23880597015
"Dumb & Dumber (1994)"	3
"Dolores Claiborne (1994)"	3.3417721519
"Perfect World, A (1993)"	3.68
"Apollo 13 (1995)"	3.93115942029
"Nell (1994)"	3.48148148148
"Madness of King George, The (1994)"	3.76923076923
"Star Trek IV: The Voyage Home (1986)"	3.4472361809
"Rebel Without a Cause (1955)"	3.85555555556
"Clear and Present Danger (1994)"	3.56983240223
"Prophecy, The (1995)"	2.9375
"That Darn Cat! (1997)"	2.46341463415
"Heathers (1989)"	3.69005847953
"Snow White and the Seven Dwarfs (1937)"	3.70930232558
"Denise Calls Up (1995)"	3
"Henry V (1989)"	4.13709677419
"Basquiat (1996)"	3.25
"Excess Baggage (1997)"	2.53846153846
"Roman Holiday (1953)"	4.10294117647
"Dracula: Dead and Loving It (1995)"	2.28
"Marvin's Room (1996)"	3.58974358974
"Arsenic and Old Lace (1944)"	4.07826086957
"Flower of My Secret, The (Flor de mi secreto, La) (1995)"	3.16666666667
"City Hall (1996)"	3.13924050633
"Full Monty, The (1997)"	3.92698412698
"Clockwork Orange, A (1971)"	3.90950226244
"Amityville II: The Possession (1982)"	1.64285714286
"Menace II Society (1993)"	3.46
"Blown Away (1994)"	2.75862068966
"Chinatown (1974)"	4.13605442177
"Lost Highway (1997)"	3.136
"Shadowlands (1993)"	3.9358974359
"True Romance (1993)"	3.61538461538
"Smoke (1995)"	3.62162162162
"Bound (1996)"	3.82170542636
"Dead Man Walking (1995)"	3.89632107023
"Sleeper (1973)"	3.63414634146
"Under Siege (1992)"	3.29032258065
"Wild Bunch, The (1969)"	4.02325581395
"Unforgiven (1992)"	3.86813186813
"Quest, The (1996)"	2.51851851852
"Raise the Red Lantern (1991)"	4.15517241379
"Secret of Roan Inish, The (1994)"	3.85915492958
"Cable Guy, The (1996)"	2.33962264151
"Rainmaker, The (1997)"	3.6
"Secrets & Lies (1996)"	4.26543209877
"Carrie (1976)"	3.5041322314
"Very Brady Sequel, A (1996)"	2.39784946237
"SubUrbia (1997)"	3.66666666667
"Substitute, The (1996)"	2.69387755102
"Koyaanisqatsi (1983)"	3.49056603774
"William Shakespeare's Romeo and Juliet (1996)"	3.59433962264
"Thousand Acres, A (1997)"	3.40540540541
"Romeo Is Bleeding (1993)"	3
"Operation Dumbo Drop (1995)"	2.51612903226
"Shall We Dance? (1996)"	4.26086956522
"Escape from L.A. (1996)"	2.46153846154
"Misérables, Les (1995)"	3.61904761905
"Down Periscope (1996)"	2.70297029703
"Dirty Dancing (1987)"	3.10204081633
"Natural Born Killers (1994)"	2.953125
"Mrs. Doubtfire (1993)"	3.41145833333
"Nightmare Before Christmas, The (1993)"	3.58741258741
"Matilda (1996)"	3.21052631579
"Dragonheart (1996)"	3.08227848101
"Nick of Time (1995)"	3.04545454545
"Shall We Dance? (1937)"	3.70588235294
"Welcome to the Dollhouse (1995)"	3.72321428571
"Thin Blue Line, The (1988)"	3.77142857143
"Maximum Risk (1996)"	2.8
"Adventures of Robin Hood, The (1938)"	3.79104477612
"Lawrence of Arabia (1962)"	4.23121387283
"Striking Distance (1993)"	2.58333333333
"On Golden Pond (1981)"	3.55660377358
"Third Man, The (1949)"	4.33333333333
"Showgirls (1995)"	1.95652173913
"Net, The (1995)"	3.00833333333
"Cinderella (1950)"	3.58139534884
"Amityville: Dollhouse (1996)"	1
"Breakfast at Tiffany's (1961)"	3.72631578947
"Searching for Bobby Fischer (1993)"	3.90579710145
"Exit to Eden (1994)"	2.75
"Mask, The (1994)"	3.19379844961
"Being There (1979)"	3.90517241379
"Escape to Witch Mountain (1975)"	2.96666666667
"Phenomenon (1996)"	3.55737704918
"Blink (1994)"	3
"Wedding Singer, The (1998)"	3.48611111111
"Sgt. Bilko (1996)"	2.56756756757
"Maverick (1994)"	3.46875
"Sneakers (1992)"	3.51333333333
"Believers, The (1987)"	2.25
"Malice (1993)"	3.17391304348
"Major Payne (1994)"	2.47368421053
"Cool Hand Luke (1967)"	3.99390243902
"Microcosmos: Le peuple de l'herbe (1996)"	3.75
"Gridlock'd (1997)"	3.21052631579
"Eye for an Eye (1996)"	3.03125
"Extreme Measures (1996)"	3.171875
"Moll Flanders (1996)"	3.5
"Room with a View, A (1986)"	3.98507462687
"Everyone Says I Love You (1996)"	3.27380952381
"Some Folks Call It a Sling Blade (1993)"	4.29268292683
"She's So Lovely (1997)"	2.7358490566
"Apocalypse Now (1979)"	4.04524886878
"Homeward Bound II: Lost in San Francisco (1996)"	2.78125
"Star Trek: Generations (1994)"	3.33620689655
"Three Colors: Red (1994)"	4.06024096386
"Oliver & Company (1988)"	2.77272727273
"Son in Law (1993)"	2.48717948718
"Ghost and the Darkness, The (1996)"	3.203125
"Rocket Man (1997)"	2.40816326531
"Bastard Out of Carolina (1996)"	2.875
"Sirens (1994)"	2.98305084746
"Great Dictator, The (1940)"	4.02173913043
"Kiss Me, Guido (1997)"	3.16129032258
"Night of the Living Dead (1968)"	3.421875
"Charade (1963)"	3.925
"Hoodlum (1997)"	2.93150684932
"Bullets Over Broadway (1994)"	3.72093023256
"Sex, Lies, and Videotape (1989)"	3.47524752475
"Georgia (1995)"	2.9
"Bad Boys (1995)"	3.10526315789
"Benny & Joon (1993)"	3.46078431373
"Ref, The (1994)"	3.03448275862
"Local Hero (1983)"	3.96825396825
"Little Princess, A (1995)"	3.65853658537
"I Know What You Did Last Summer (1997)"	3.06
"Breaking the Waves (1996)"	3.72972972973
"Last Dance (1996)"	3.11111111111
"Looking for Richard (1996)"	3.72727272727
"D3: The Mighty Ducks (1996)"	2.57894736842
"Manhattan (1979)"	3.76923076923
"Emma (1996)"	3.71751412429
"American in Paris, An (1951)"	3.7
"Body Snatchers (1993)"	2.97101449275
"Blue Angel, The (Blaue Engel, Der) (1930)"	3.77777777778
"Wolf (1994)"	2.70149253731
"My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)"	2
"Widows' Peak (1994)"	3.57894736842
"Addams Family Values (1993)"	2.81609195402
"Edge, The (1997)"	3.53982300885
"Sphere (1998)"	2.92682926829
"How to Make an American Quilt (1995)"	3.33802816901
"Sunset Blvd. (1950)"	4.2
"Wallace & Gromit: The Best of Aardman Animation (1996)"	4.44776119403
"Rumble in the Bronx (1995)"	3.44827586207
"Happy Gilmore (1996)"	3.38926174497
"Disclosure (1994)"	3
"Unstrung Heroes (1995)"	3.31818181818
"Magnificent Seven, The (1954)"	3.94214876033
"Jeffrey (1995)"	3.52941176471
"How to Be a Player (1997)"	2.7619047619
"Drop Zone (1994)"	2.54838709677
"Butch Cassidy and the Sundance Kid (1969)"	3.94907407407
"Sling Blade (1996)"	4.19852941176
"Somebody to Love (1994)"	1
"Gay Divorcee, The (1934)"	3.86666666667
"Captives (1994)"	2.33333333333
"Steel (1997)"	2.15789473684
"Star Trek V: The Final Frontier (1989)"	2.39682539683
"Glory (1989)"	4.07602339181
"As Good As It Gets (1997)"	4.19642857143
"Harriet the Spy (1996)"	2.7
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)"	3.375
"Forget Paris (1995)"	3.1935483871
"Children of the Corn: The Gathering (1996)"	1.31578947368
"Day the Earth Stood Still, The (1951)"	3.9381443299
"Hearts and Minds (1996)"	3.8
"Palookaville (1996)"	2.92307692308
"Manon of the Spring (Manon des sources) (1986)"	4.12068965517
"Phat Beach (1996)"	1.6
"Die xue shuang xiong (Killer, The) (1989)"	3.96774193548
"Half Baked (1998)"	2.5
"Love! Valour! Compassion! (1997)"	3.61538461538
"Crucible, The (1996)"	3.33766233766
"Private Parts (1997)"	3.53
"Mixed Nuts (1994)"	2.53333333333
"Casino (1995)"	3.64835164835
"Time to Kill, A (1996)"	3.68534482759
"Pillow Book, The (1995)"	3.69230769231
"Harold and Maude (1971)"	3.81818181818
"Crows and Sparrows (1949)"	1.5
"Sudden Death (1995)"	2.72340425532
"Air Force One (1997)"	3.63109048724
"Dingo (1992)"	2.4
