"V1"	"V2"
"Fugitive, The (1993)"	"thriller"
"Hot Shots! Part Deux (1993)"	"action"
"Hot Shots! Part Deux (1993)"	"comedy"
"Hot Shots! Part Deux (1993)"	"war"
"Hudsucker Proxy, The (1994)"	"comedy"
"Hudsucker Proxy, The (1994)"	"romance"
"Jurassic Park (1993)"	"action"
"Jurassic Park (1993)"	"adventure"
"Jurassic Park (1993)"	"sci-fi"
"Much Ado About Nothing (1993)"	"comedy"
"Much Ado About Nothing (1993)"	"romance"
"Robert A. Heinlein's The Puppet Masters (1994)"	"horror"
"Robert A. Heinlein's The Puppet Masters (1994)"	"sci-fi"
"Ref, The (1994)"	"comedy"
"Remains of the Day, The (1993)"	"drama"
"Searching for Bobby Fischer (1993)"	"drama"
"Sleepless in Seattle (1993)"	"comedy"
"Sleepless in Seattle (1993)"	"romance"
"Blade Runner (1982)"	"film-noir"
"Blade Runner (1982)"	"sci-fi"
"So I Married an Axe Murderer (1993)"	"comedy"
"So I Married an Axe Murderer (1993)"	"romance"
"So I Married an Axe Murderer (1993)"	"thriller"
"Nightmare Before Christmas, The (1993)"	"children"
"Nightmare Before Christmas, The (1993)"	"comedy"
"Nightmare Before Christmas, The (1993)"	"musical"
"True Romance (1993)"	"action"
"True Romance (1993)"	"crime"
"True Romance (1993)"	"romance"
"Welcome to the Dollhouse (1995)"	"comedy"
"Welcome to the Dollhouse (1995)"	"drama"
"Home Alone (1990)"	"children"
"Home Alone (1990)"	"comedy"
"Aladdin (1992)"	"animation"
"Aladdin (1992)"	"children"
"Aladdin (1992)"	"comedy"
"Aladdin (1992)"	"musical"
"Terminator 2: Judgment Day (1991)"	"action"
"Terminator 2: Judgment Day (1991)"	"sci-fi"
"Terminator 2: Judgment Day (1991)"	"thriller"
"Dances with Wolves (1990)"	"adventure"
"Dances with Wolves (1990)"	"drama"
"Dances with Wolves (1990)"	"western"
"Silence of the Lambs, The (1991)"	"drama"
"Silence of the Lambs, The (1991)"	"thriller"
"Snow White and the Seven Dwarfs (1937)"	"animation"
"Snow White and the Seven Dwarfs (1937)"	"children"
"Snow White and the Seven Dwarfs (1937)"	"musical"
"Fargo (1996)"	"crime"
"Fargo (1996)"	"drama"
"Fargo (1996)"	"thriller"
"Heavy Metal (1981)"	"action"
"Heavy Metal (1981)"	"adventure"
"Heavy Metal (1981)"	"animation"
"Heavy Metal (1981)"	"horror"
"Heavy Metal (1981)"	"sci-fi"
"Aristocats, The (1970)"	"animation"
"Aristocats, The (1970)"	"children"
"All Dogs Go to Heaven 2 (1996)"	"animation"
"All Dogs Go to Heaven 2 (1996)"	"children"
"All Dogs Go to Heaven 2 (1996)"	"musical"
"Theodore Rex (1995)"	"comedy"
"Sgt. Bilko (1996)"	"comedy"
"Diabolique (1996)"	"drama"
"Diabolique (1996)"	"thriller"
"Moll Flanders (1996)"	"drama"
"Kids in the Hall: Brain Candy (1996)"	"comedy"
"Mystery Science Theater 3000: The Movie (1996)"	"comedy"
"Mystery Science Theater 3000: The Movie (1996)"	"sci-fi"
"Operation Dumbo Drop (1995)"	"action"
"Operation Dumbo Drop (1995)"	"adventure"
"Operation Dumbo Drop (1995)"	"comedy"
"Operation Dumbo Drop (1995)"	"war"
"Truth About Cats & Dogs, The (1996)"	"comedy"
"Truth About Cats & Dogs, The (1996)"	"romance"
"Flipper (1996)"	"adventure"
"Flipper (1996)"	"children"
"Horseman on the Roof, The  (1995)"	"drama"
"Wallace & Gromit: The Best of Aardman Animation (1996)"	"animation"
"Haunted World of Edward D. Wood Jr., The (1995)"	"documentary"
"Cold Comfort Farm (1995)"	"comedy"
"Rock, The (1996)"	"action"
"Rock, The (1996)"	"adventure"
"Rock, The (1996)"	"thriller"
"Twister (1996)"	"action"
"Twister (1996)"	"adventure"
"Twister (1996)"	"thriller"
"Maya Lin: A Strong Clear Vision (1994)"	"documentary"
"Striptease (1996)"	"comedy"
"Striptease (1996)"	"crime"
"Independence Day (ID4) (1996)"	"action"
"Independence Day (ID4) (1996)"	"sci-fi"
"Independence Day (ID4) (1996)"	"war"
"Cable Guy, The (1996)"	"comedy"
"Frighteners, The (1996)"	"comedy"
"Frighteners, The (1996)"	"horror"
"Lone Star (1996)"	"drama"
"Lone Star (1996)"	"mystery"
"Phenomenon (1996)"	"drama"
"Phenomenon (1996)"	"romance"
"Spitfire Grill, The (1996)"	"drama"
"Godfather, The (1972)"	"action"
"Godfather, The (1972)"	"crime"
"Godfather, The (1972)"	"drama"
"Supercop (1992)"	"action"
"Supercop (1992)"	"thriller"
"Bound (1996)"	"crime"
"Bound (1996)"	"drama"
"Bound (1996)"	"romance"
"Bound (1996)"	"thriller"
"Kansas City (1996)"	"crime"
"Breakfast at Tiffany's (1961)"	"drama"
"Breakfast at Tiffany's (1961)"	"romance"
"Wizard of Oz, The (1939)"	"adventure"
"Wizard of Oz, The (1939)"	"children"
"Wizard of Oz, The (1939)"	"drama"
"Wizard of Oz, The (1939)"	"musical"
"Gone with the Wind (1939)"	"drama"
"Gone with the Wind (1939)"	"romance"
"Gone with the Wind (1939)"	"war"
"Citizen Kane (1941)"	"drama"
"2001: A Space Odyssey (1968)"	"drama"
"2001: A Space Odyssey (1968)"	"mystery"
"2001: A Space Odyssey (1968)"	"sci-fi"
"2001: A Space Odyssey (1968)"	"thriller"
"Mr. Smith Goes to Washington (1939)"	"drama"
"Big Night (1996)"	"drama"
"D3: The Mighty Ducks (1996)"	"children"
"D3: The Mighty Ducks (1996)"	"comedy"
"Love Bug, The (1969)"	"children"
"Love Bug, The (1969)"	"comedy"
"Homeward Bound: The Incredible Journey (1993)"	"adventure"
"Homeward Bound: The Incredible Journey (1993)"	"children"
"20,000 Leagues Under the Sea (1954)"	"adventure"
"20,000 Leagues Under the Sea (1954)"	"children"
"20,000 Leagues Under the Sea (1954)"	"fantasy"
"20,000 Leagues Under the Sea (1954)"	"sci-fi"
"Bedknobs and Broomsticks (1971)"	"adventure"
"Bedknobs and Broomsticks (1971)"	"children"
"Bedknobs and Broomsticks (1971)"	"musical"
"Sound of Music, The (1965)"	"musical"
"Die Hard (1988)"	"action"
"Die Hard (1988)"	"thriller"
"Lawnmower Man, The (1992)"	"action"
"Lawnmower Man, The (1992)"	"sci-fi"
"Lawnmower Man, The (1992)"	"thriller"
"Unhook the Stars (1996)"	"drama"
"Long Kiss Goodnight, The (1996)"	"action"
"Long Kiss Goodnight, The (1996)"	"thriller"
"Ghost and the Darkness, The (1996)"	"action"
"Ghost and the Darkness, The (1996)"	"adventure"
"Jude (1996)"	"drama"
"Swingers (1996)"	"comedy"
"Swingers (1996)"	"drama"
"Willy Wonka and the Chocolate Factory (1971)"	"adventure"
"Willy Wonka and the Chocolate Factory (1971)"	"children"
"Willy Wonka and the Chocolate Factory (1971)"	"comedy"
"Sleeper (1973)"	"comedy"
"Sleeper (1973)"	"sci-fi"
"Fish Called Wanda, A (1988)"	"comedy"
"Monty Python's Life of Brian (1979)"	"comedy"
"Dirty Dancing (1987)"	"musical"
"Dirty Dancing (1987)"	"romance"
"Reservoir Dogs (1992)"	"crime"
"Reservoir Dogs (1992)"	"thriller"
"Platoon (1986)"	"drama"
"Platoon (1986)"	"war"
"Weekend at Bernie's (1989)"	"comedy"
"Basic Instinct (1992)"	"mystery"
"Basic Instinct (1992)"	"thriller"
"Glengarry Glen Ross (1992)"	"drama"
"Top Gun (1986)"	"action"
"Top Gun (1986)"	"romance"
"On Golden Pond (1981)"	"drama"
"Return of the Pink Panther, The (1974)"	"comedy"
"Abyss, The (1989)"	"action"
"Abyss, The (1989)"	"adventure"
"Abyss, The (1989)"	"sci-fi"
"Abyss, The (1989)"	"thriller"
"Jean de Florette (1986)"	"drama"
"Manon of the Spring  (1986)"	"drama"
"Private Benjamin (1980)"	"comedy"
"Monty Python and the Holy Grail (1974)"	"comedy"
"Wrong Trousers, The (1993)"	"animation"
"Wrong Trousers, The (1993)"	"comedy"
"Cinema Paradiso (1988)"	"comedy"
"Cinema Paradiso (1988)"	"drama"
"Cinema Paradiso (1988)"	"romance"
"Delicatessen (1991)"	"comedy"
"Delicatessen (1991)"	"sci-fi"
"Empire Strikes Back, The (1980)"	"action"
"Empire Strikes Back, The (1980)"	"adventure"
"Empire Strikes Back, The (1980)"	"drama"
"Empire Strikes Back, The (1980)"	"romance"
"Empire Strikes Back, The (1980)"	"sci-fi"
"Empire Strikes Back, The (1980)"	"war"
"Princess Bride, The (1987)"	"action"
"Princess Bride, The (1987)"	"adventure"
"Princess Bride, The (1987)"	"comedy"
"Princess Bride, The (1987)"	"romance"
"Raiders of the Lost Ark (1981)"	"action"
"Raiders of the Lost Ark (1981)"	"adventure"
"Brazil (1985)"	"sci-fi"
"Aliens (1986)"	"action"
"Aliens (1986)"	"sci-fi"
"Aliens (1986)"	"thriller"
"Aliens (1986)"	"war"
"Good, The Bad and The Ugly, The (1966)"	"action"
"Good, The Bad and The Ugly, The (1966)"	"western"
"12 Angry Men (1957)"	"drama"
"Clockwork Orange, A (1971)"	"sci-fi"
"Apocalypse Now (1979)"	"drama"
"Apocalypse Now (1979)"	"war"
"Return of the Jedi (1983)"	"action"
"Return of the Jedi (1983)"	"adventure"
"Return of the Jedi (1983)"	"romance"
"Return of the Jedi (1983)"	"sci-fi"
"Return of the Jedi (1983)"	"war"
"GoodFellas (1990)"	"crime"
"GoodFellas (1990)"	"drama"
"Alien (1979)"	"action"
"Alien (1979)"	"horror"
"Alien (1979)"	"sci-fi"
"Alien (1979)"	"thriller"
"Army of Darkness (1993)"	"action"
"Army of Darkness (1993)"	"adventure"
"Army of Darkness (1993)"	"comedy"
"Army of Darkness (1993)"	"horror"
"Army of Darkness (1993)"	"sci-fi"
"Psycho (1960)"	"horror"
"Psycho (1960)"	"romance"
"Psycho (1960)"	"thriller"
"Blues Brothers, The (1980)"	"action"
"Blues Brothers, The (1980)"	"comedy"
"Blues Brothers, The (1980)"	"musical"
"Godfather: Part II, The (1974)"	"action"
"Godfather: Part II, The (1974)"	"crime"
"Godfather: Part II, The (1974)"	"drama"
"Full Metal Jacket (1987)"	"action"
"Full Metal Jacket (1987)"	"drama"
"Full Metal Jacket (1987)"	"war"
"Grand Day Out, A (1992)"	"animation"
"Grand Day Out, A (1992)"	"comedy"
"Henry V (1989)"	"drama"
"Henry V (1989)"	"war"
"Amadeus (1984)"	"drama"
"Amadeus (1984)"	"mystery"
"Raging Bull (1980)"	"drama"
"Right Stuff, The (1983)"	"drama"
"Sting, The (1973)"	"comedy"
"Sting, The (1973)"	"crime"
"Terminator, The (1984)"	"action"
"Terminator, The (1984)"	"sci-fi"
"Terminator, The (1984)"	"thriller"
"Dead Poets Society (1989)"	"drama"
"Graduate, The (1967)"	"drama"
"Graduate, The (1967)"	"romance"
"Nikita  (1990)"	"thriller"
"Bridge on the River Kwai, The (1957)"	"drama"
"Bridge on the River Kwai, The (1957)"	"war"
"Shining, The (1980)"	"horror"
"Evil Dead II (1987)"	"action"
"Evil Dead II (1987)"	"adventure"
"Evil Dead II (1987)"	"comedy"
"Evil Dead II (1987)"	"horror"
"Groundhog Day (1993)"	"comedy"
"Groundhog Day (1993)"	"romance"
"Unforgiven (1992)"	"western"
"Back to the Future (1985)"	"comedy"
"Back to the Future (1985)"	"sci-fi"
"Patton (1970)"	"drama"
"Patton (1970)"	"war"
"Akira (1988)"	"adventure"
"Akira (1988)"	"animation"
"Akira (1988)"	"sci-fi"
"Akira (1988)"	"thriller"
"Cyrano de Bergerac (1990)"	"action"
"Cyrano de Bergerac (1990)"	"drama"
"Cyrano de Bergerac (1990)"	"romance"
"Young Frankenstein (1974)"	"comedy"
"Young Frankenstein (1974)"	"horror"
"This Is Spinal Tap (1984)"	"comedy"
"This Is Spinal Tap (1984)"	"drama"
"This Is Spinal Tap (1984)"	"musical"
"Indiana Jones and the Last Crusade (1989)"	"action"
"Indiana Jones and the Last Crusade (1989)"	"adventure"
"M*A*S*H (1970)"	"comedy"
"M*A*S*H (1970)"	"war"
"Unbearable Lightness of Being, The (1988)"	"drama"
"Room with a View, A (1986)"	"drama"
"Room with a View, A (1986)"	"romance"
"Pink Floyd - The Wall (1982)"	"drama"
"Pink Floyd - The Wall (1982)"	"musical"
"Pink Floyd - The Wall (1982)"	"war"
"Field of Dreams (1989)"	"drama"
"When Harry Met Sally... (1989)"	"comedy"
"When Harry Met Sally... (1989)"	"romance"
"Bram Stoker's Dracula (1992)"	"horror"
"Bram Stoker's Dracula (1992)"	"romance"
"Cape Fear (1991)"	"thriller"
"Nightmare on Elm Street, A (1984)"	"horror"
"Mirror Has Two Faces, The (1996)"	"comedy"
"Mirror Has Two Faces, The (1996)"	"romance"
"Breaking the Waves (1996)"	"drama"
"Star Trek: First Contact (1996)"	"action"
"Star Trek: First Contact (1996)"	"adventure"
"Star Trek: First Contact (1996)"	"sci-fi"
"Sling Blade (1996)"	"drama"
"Sling Blade (1996)"	"thriller"
"Ridicule (1996)"	"drama"
"101 Dalmatians (1996)"	"children"
"101 Dalmatians (1996)"	"comedy"
"Die Hard 2 (1990)"	"action"
"Die Hard 2 (1990)"	"thriller"
"Star Trek VI: The Undiscovered Country (1991)"	"action"
"Star Trek VI: The Undiscovered Country (1991)"	"adventure"
"Star Trek VI: The Undiscovered Country (1991)"	"sci-fi"
"Star Trek: The Wrath of Khan (1982)"	"action"
"Star Trek: The Wrath of Khan (1982)"	"adventure"
"Star Trek: The Wrath of Khan (1982)"	"sci-fi"
"Star Trek III: The Search for Spock (1984)"	"action"
"Star Trek III: The Search for Spock (1984)"	"adventure"
"Star Trek III: The Search for Spock (1984)"	"sci-fi"
"Star Trek IV: The Voyage Home (1986)"	"action"
"Star Trek IV: The Voyage Home (1986)"	"adventure"
"Star Trek IV: The Voyage Home (1986)"	"sci-fi"
"Batman Returns (1992)"	"action"
"Batman Returns (1992)"	"adventure"
"Batman Returns (1992)"	"comedy"
"Batman Returns (1992)"	"crime"
"Young Guns (1988)"	"action"
"Young Guns (1988)"	"comedy"
"Young Guns (1988)"	"western"
"Under Siege (1992)"	"action"
"Jaws (1975)"	"action"
"Jaws (1975)"	"horror"
"Mars Attacks! (1996)"	"action"
"Mars Attacks! (1996)"	"comedy"
"Mars Attacks! (1996)"	"sci-fi"
"Mars Attacks! (1996)"	"war"
"Citizen Ruth (1996)"	"comedy"
"Citizen Ruth (1996)"	"drama"
"Jerry Maguire (1996)"	"drama"
"Jerry Maguire (1996)"	"romance"
"Raising Arizona (1987)"	"comedy"
"Sneakers (1992)"	"crime"
"Sneakers (1992)"	"drama"
"Sneakers (1992)"	"sci-fi"
"Beavis and Butt-head Do America (1996)"	"animation"
"Beavis and Butt-head Do America (1996)"	"comedy"
"Last of the Mohicans, The (1992)"	"action"
"Last of the Mohicans, The (1992)"	"romance"
"Last of the Mohicans, The (1992)"	"war"
"Kolya (1996)"	"comedy"
"Jungle2Jungle (1997)"	"children"
"Jungle2Jungle (1997)"	"comedy"
"Smilla's Sense of Snow (1997)"	"action"
"Smilla's Sense of Snow (1997)"	"drama"
"Smilla's Sense of Snow (1997)"	"thriller"
"Devil's Own, The (1997)"	"action"
"Devil's Own, The (1997)"	"drama"
"Devil's Own, The (1997)"	"thriller"
"Devil's Own, The (1997)"	"war"
"Chasing Amy (1997)"	"drama"
"Chasing Amy (1997)"	"romance"
"Turbo: A Power Rangers Movie (1997)"	"action"
"Turbo: A Power Rangers Movie (1997)"	"adventure"
"Turbo: A Power Rangers Movie (1997)"	"children"
"Grosse Pointe Blank (1997)"	"comedy"
"Grosse Pointe Blank (1997)"	"crime"
"Austin Powers: International Man of Mystery (1997)"	"comedy"
"Fifth Element, The (1997)"	"action"
"Fifth Element, The (1997)"	"sci-fi"
"Shall We Dance? (1996)"	"comedy"
"Lost World: Jurassic Park, The (1997)"	"action"
"Lost World: Jurassic Park, The (1997)"	"adventure"
"Lost World: Jurassic Park, The (1997)"	"sci-fi"
"Lost World: Jurassic Park, The (1997)"	"thriller"
"Pillow Book, The (1995)"	"drama"
"Pillow Book, The (1995)"	"romance"
"Batman & Robin (1997)"	"action"
"Batman & Robin (1997)"	"adventure"
"Batman & Robin (1997)"	"crime"
"My Best Friend's Wedding (1997)"	"comedy"
"My Best Friend's Wedding (1997)"	"romance"
"When the Cats Away  (1996)"	"comedy"
"When the Cats Away  (1996)"	"romance"
"Men in Black (1997)"	"action"
"Men in Black (1997)"	"adventure"
"Men in Black (1997)"	"comedy"
"Men in Black (1997)"	"sci-fi"
"Contact (1997)"	"drama"
"Contact (1997)"	"sci-fi"
"George of the Jungle (1997)"	"children"
"George of the Jungle (1997)"	"comedy"
"Event Horizon (1997)"	"action"
"Event Horizon (1997)"	"mystery"
"Event Horizon (1997)"	"sci-fi"
"Event Horizon (1997)"	"thriller"
"Air Bud (1997)"	"children"
"Air Bud (1997)"	"comedy"
"In the Company of Men (1997)"	"drama"
"Steel (1997)"	"action"
"Mimic (1997)"	"sci-fi"
"Mimic (1997)"	"thriller"
"Hunt for Red October, The (1990)"	"action"
"Hunt for Red October, The (1990)"	"thriller"
"Kull the Conqueror (1997)"	"action"
"Kull the Conqueror (1997)"	"adventure"
"unknown"	""
"Chasing Amy (1997)"	"drama"
"Chasing Amy (1997)"	"romance"
"Full Monty, The (1997)"	"comedy"
"Gattaca (1997)"	"drama"
"Gattaca (1997)"	"sci-fi"
"Gattaca (1997)"	"thriller"
"Starship Troopers (1997)"	"action"
"Starship Troopers (1997)"	"adventure"
"Starship Troopers (1997)"	"sci-fi"
"Starship Troopers (1997)"	"war"
"Good Will Hunting (1997)"	"drama"
"Heat (1995)"	"action"
"Heat (1995)"	"crime"
"Heat (1995)"	"thriller"
"Sabrina (1995)"	"comedy"
"Sabrina (1995)"	"romance"
"Sense and Sensibility (1995)"	"drama"
"Sense and Sensibility (1995)"	"romance"
"Leaving Las Vegas (1995)"	"drama"
"Leaving Las Vegas (1995)"	"romance"
"Restoration (1995)"	"drama"
"Bed of Roses (1996)"	"drama"
"Bed of Roses (1996)"	"romance"
"Once Upon a Time... When We Were Colored (1995)"	"drama"
"Up Close and Personal (1996)"	"drama"
"Up Close and Personal (1996)"	"romance"
"River Wild, The (1994)"	"action"
"River Wild, The (1994)"	"thriller"
"Time to Kill, A (1996)"	"drama"
"Emma (1996)"	"drama"
"Emma (1996)"	"romance"
"Tin Cup (1996)"	"comedy"
"Tin Cup (1996)"	"romance"
"Secrets & Lies (1996)"	"drama"
"English Patient, The (1996)"	"drama"
"English Patient, The (1996)"	"romance"
"English Patient, The (1996)"	"war"
"Marvin's Room (1996)"	"drama"
"Scream (1996)"	"horror"
"Scream (1996)"	"thriller"
"Evita (1996)"	"drama"
"Evita (1996)"	"musical"
"Fierce Creatures (1997)"	"comedy"
"Absolute Power (1997)"	"mystery"
"Absolute Power (1997)"	"thriller"
"Rosewood (1997)"	"drama"
"Donnie Brasco (1997)"	"crime"
"Donnie Brasco (1997)"	"drama"
"Liar Liar (1997)"	"comedy"
"Breakdown (1997)"	"action"
"Breakdown (1997)"	"thriller"
"Promesse, La (1996)"	"drama"
"Ulee's Gold (1997)"	"drama"
"Face/Off (1997)"	"action"
"Face/Off (1997)"	"sci-fi"
"Face/Off (1997)"	"thriller"
"Hoodlum (1997)"	"crime"
"Hoodlum (1997)"	"drama"
"Hoodlum (1997)"	"film-noir"
"Air Force One (1997)"	"action"
"Air Force One (1997)"	"thriller"
"In & Out (1997)"	"comedy"
"L.A. Confidential (1997)"	"crime"
"L.A. Confidential (1997)"	"film-noir"
"L.A. Confidential (1997)"	"mystery"
"L.A. Confidential (1997)"	"thriller"
"Ulee's Gold (1997)"	"drama"
"Fly Away Home (1996)"	"adventure"
"Fly Away Home (1996)"	"children"
"Ice Storm, The (1997)"	"drama"
"Mrs. Brown  (1997)"	"drama"
"Mrs. Brown  (1997)"	"romance"
"Devil's Advocate, The (1997)"	"crime"
"Devil's Advocate, The (1997)"	"horror"
"Devil's Advocate, The (1997)"	"mystery"
"Devil's Advocate, The (1997)"	"thriller"
"FairyTale: A True Story (1997)"	"children"
"FairyTale: A True Story (1997)"	"drama"
"FairyTale: A True Story (1997)"	"fantasy"
"Deceiver (1997)"	"crime"
"Rainmaker, The (1997)"	"drama"
"Wings of the Dove, The (1997)"	"drama"
"Wings of the Dove, The (1997)"	"romance"
"Wings of the Dove, The (1997)"	"thriller"
"Midnight in the Garden of Good and Evil (1997)"	"comedy"
"Midnight in the Garden of Good and Evil (1997)"	"crime"
"Midnight in the Garden of Good and Evil (1997)"	"drama"
"Midnight in the Garden of Good and Evil (1997)"	"mystery"
"Titanic (1997)"	"action"
"Titanic (1997)"	"drama"
"Titanic (1997)"	"romance"
"3 Ninjas: High Noon At Mega Mountain (1998)"	"action"
"3 Ninjas: High Noon At Mega Mountain (1998)"	"children"
"Apt Pupil (1998)"	"drama"
"Apt Pupil (1998)"	"thriller"
"As Good As It Gets (1997)"	"comedy"
"As Good As It Gets (1997)"	"drama"
"In the Name of the Father (1993)"	"drama"
"Schindler's List (1993)"	"drama"
"Schindler's List (1993)"	"war"
"Everyone Says I Love You (1996)"	"comedy"
"Everyone Says I Love You (1996)"	"musical"
"Everyone Says I Love You (1996)"	"romance"
"Paradise Lost: The Child Murders at Robin Hood Hills (1996)"	"documentary"
"Mother (1996)"	"comedy"
"Murder at 1600 (1997)"	"mystery"
